id,department_code,department_name,district_code,district_name,grievance_category,days_to_resolve,officer_response_count,escalation_level,lapse_type,lapse_type_id,confidence
38,RNB,"Transport, Roads And Buildings",VSP,Visakhapatnam,road_pothole,13,1,Mandal,Wrong/Blank/Not related comments,3,0.93
39,AGRI,Agriculture And Co-operation,KRS,Krishna,subsidy_delay,3,1,GRA,Premature closure,6,0.86
40,HOME,Home (Police),PVT,Parvathipuram Manyam,fir_delay,17,1,Mandal,Wrong/Blank/Not related comments,3,0.89
41,REVENUE,Revenue (CCLA),PKM,Prakasam,land_mutation,13,2,HOD,Action not taken as per rules,7,0.95
42,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,community_hall,18,1,Mandal,No action letter issued,11,0.87
43,RNB,"Transport, Roads And Buildings",TPT,Tirupati,bus_service,68,9,Collector,No proper enquiry conducted,5,0.87
44,PNCHRAJ,Panchayat Raj And Rural Development,SKM,Srikakulam,village_roads,14,3,Mandal,Premature closure,6,0.88
45,ENERGY,Energy,EG,East Godavari,meter_issue,14,2,GRA,GRA did not speak to citizen directly,1,0.95
46,REVENUE,Revenue (CCLA),KNR,Konaseema,encroachment,21,2,Mandal,GRA did not speak to citizen directly,1,0.94
47,REVENUE,Revenue (CCLA),ELR,Eluru,revenue_certificate,5,1,GRA,GRA did not speak to citizen directly,1,0.91
48,MUNI,Municipal Administration And Urban Development,SKM,Srikakulam,road_repair,20,3,RDO,GRA did not speak to citizen directly,1,0.94
49,MUNI,Municipal Administration And Urban Development,NAG,Sri Potti Sriramulu Nellore,building_permission,14,2,Tahsildar,Wrong/Blank/Not related comments,3,0.94
50,AGRI,Agriculture And Co-operation,PLN,Palnadu,crop_compensation,39,11,Collector,No proper enquiry conducted,5,0.88
51,AGRI,Agriculture And Co-operation,BAP,Bapatla,subsidy_delay,8,1,RDO,GRA did not speak to citizen directly,1,0.94
52,MUNI,Municipal Administration And Urban Development,KNL,Kurnool,street_lights,61,16,HOD,Not visited site / No field verification,2,0.93
53,MUNI,Municipal Administration And Urban Development,NLR,Nellore,street_lights,7,1,RDO,GRA did not speak to citizen directly,1,0.87
54,REVENUE,Revenue (CCLA),ANM,Annamaya,tax_assessment,4,1,Mandal,Wrong/Blank/Not related comments,3,0.88
55,ENERGY,Energy,WG,West Godavari,power_outage,22,4,Collector,GRA did not speak to citizen directly,1,0.86
56,SOC_WELF,Social Welfare,KNR,Konaseema,welfare_scheme,8,1,RDO,GRA did not speak to citizen directly,1,0.94
57,WATER,Water Resources,KDP,Kadapa,tank_maintenance,16,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
58,REVENUE,Revenue (CCLA),KDP,Kadapa,land_records,2,1,GRA,GRA did not speak to citizen directly,1,0.95
59,HEALTH,"Health, Medical And Family Welfare",KKN,Kakinada,ambulance_service,63,13,Collector,Not visited site / No field verification,2,0.92
60,SOC_WELF,Social Welfare,KRS,Krishna,pension_delay,9,1,GRA,Premature closure,6,0.88
61,REVENUE,Revenue (CCLA),KNL,Kurnool,property_dispute,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.92
62,PNCHRAJ,Panchayat Raj And Rural Development,ANT,Anantapur,drinking_water,4,1,GRA,GRA did not speak to citizen directly,1,0.93
63,SOC_WELF,Social Welfare,STY,Sri Satya Sai,welfare_scheme,28,6,RDO,Incorrect routing,10,0.85
64,SOC_WELF,Social Welfare,STY,Sri Satya Sai,scholarship_issue,19,2,RDO,Premature closure,6,0.93
65,HEALTH,"Health, Medical And Family Welfare",ANA,Anakapalli,medicine_shortage,4,1,Mandal,GRA did not speak to citizen directly,1,0.92
66,SOC_WELF,Social Welfare,NTR,NTR District,scholarship_issue,69,17,HOD,Inordinate delay,9,0.91
67,REVENUE,Revenue (CCLA),KNR,Konaseema,land_records,9,1,GRA,GRA did not speak to citizen directly,1,0.9
68,REVENUE,Revenue (CCLA),SKM,Srikakulam,revenue_certificate,15,1,Tahsildar,Closed without required documents,4,0.95
69,REVENUE,Revenue (CCLA),KNR,Konaseema,land_mutation,4,1,GRA,Closed without required documents,4,0.93
70,AGRI,Agriculture And Co-operation,EG,East Godavari,subsidy_delay,26,4,Tahsildar,Wrong/Blank/Not related comments,3,0.92
71,PNCHRAJ,Panchayat Raj And Rural Development,NTR,NTR District,village_development,44,7,RDO,Not visited site / No field verification,2,0.95
72,REVENUE,Revenue (CCLA),GNT,Guntur,revenue_certificate,61,11,Collector,Not visited site / No field verification,2,0.86
73,AGRI,Agriculture And Co-operation,KNR,Konaseema,subsidy_delay,14,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
74,ENERGY,Energy,ELR,Eluru,power_outage,27,4,RDO,Not visited site / No field verification,2,0.91
75,REVENUE,Revenue (CCLA),VZG,Vizianagaram,land_records,23,4,Collector,GRA did not speak to citizen directly,1,0.87
76,REVENUE,Revenue (CCLA),ANM,Annamaya,tax_assessment,15,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
77,MUNI,Municipal Administration And Urban Development,NLR,Nellore,drainage_issue,80,20,Collector,No proper enquiry conducted,5,0.93
78,MUNI,Municipal Administration And Urban Development,PLN,Palnadu,street_lights,4,1,GRA,GRA did not speak to citizen directly,1,0.87
79,ENERGY,Energy,NLR,Nellore,billing_dispute,40,4,Tahsildar,Inordinate delay,9,0.9
80,REVENUE,Revenue (CCLA),EG,East Godavari,tax_assessment,6,1,Tahsildar,GRA did not speak to citizen directly,1,0.9
81,ENERGY,Energy,ANT,Anantapur,billing_dispute,9,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
82,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,street_lights,4,1,GRA,Poor quality of work,12,0.88
83,REVENUE,Revenue (CCLA),KDP,Kadapa,tax_assessment,19,2,Mandal,GRA did not speak to citizen directly,1,0.87
84,PNCHRAJ,Panchayat Raj And Rural Development,KRS,Krishna,village_development,5,1,GRA,No action letter issued,11,0.93
85,REVENUE,Revenue (CCLA),PKM,Prakasam,property_dispute,10,1,Tahsildar,GRA did not speak to citizen directly,1,0.92
86,REVENUE,Revenue (CCLA),STY,Sri Satya Sai,land_records,18,2,Tahsildar,GRA did not speak to citizen directly,1,0.87
87,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_mutation,38,6,Tahsildar,No proper enquiry conducted,5,0.87
88,ENERGY,Energy,KNL,Kurnool,power_outage,22,5,RDO,Poor quality of work,12,0.91
89,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,road_repair,17,2,RDO,GRA did not speak to citizen directly,1,0.95
90,REVENUE,Revenue (CCLA),KKN,Kakinada,land_mutation,10,1,Tahsildar,Wrong/Blank/Not related comments,3,0.92
91,REVENUE,Revenue (CCLA),NTR,NTR District,encroachment,20,2,Tahsildar,GRA did not speak to citizen directly,1,0.85
92,REVENUE,Revenue (CCLA),KNL,Kurnool,tax_assessment,17,4,HOD,Premature closure,6,0.89
93,MUNI,Municipal Administration And Urban Development,KNR,Konaseema,drainage_issue,48,8,RDO,Inordinate delay,9,0.93
94,MUNI,Municipal Administration And Urban Development,ELR,Eluru,garbage_collection,5,1,GRA,GRA did not speak to citizen directly,1,0.94
95,MUNI,Municipal Administration And Urban Development,ANA,Anakapalli,street_lights,20,2,Tahsildar,GRA did not speak to citizen directly,1,0.91
96,REVENUE,Revenue (CCLA),EG,East Godavari,tax_assessment,1,1,Mandal,No proper enquiry conducted,5,0.93
97,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,drainage_issue,19,1,Mandal,Not visited site / No field verification,2,0.95
98,SOC_WELF,Social Welfare,ANA,Anakapalli,pension_not_received,6,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
99,SOC_WELF,Social Welfare,PLN,Palnadu,scholarship_issue,24,2,Tahsildar,No proper enquiry conducted,5,0.86
100,PNCHRAJ,Panchayat Raj And Rural Development,ANM,Annamaya,village_roads,25,2,Mandal,Not visited site / No field verification,2,0.9
101,AGRI,Agriculture And Co-operation,ANA,Anakapalli,irrigation_problem,14,2,GRA,Premature closure,6,0.89
102,AGRI,Agriculture And Co-operation,KDP,Kadapa,crop_compensation,7,1,GRA,No action letter issued,11,0.88
103,REVENUE,Revenue (CCLA),VZG,Vizianagaram,land_mutation,14,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
104,SOC_WELF,Social Welfare,PVT,Parvathipuram Manyam,disability_certificate,9,1,GRA,GRA did not speak to citizen directly,1,0.9
105,REVENUE,Revenue (CCLA),CHT,Chittoor,encroachment,74,14,CM,Not visited site / No field verification,2,0.94
106,MUNI,Municipal Administration And Urban Development,GNT,Guntur,garbage_collection,17,1,Collector,Wrong/Blank/Not related comments,3,0.9
107,REVENUE,Revenue (CCLA),BAP,Bapatla,land_records,2,1,GRA,GRA did not speak to citizen directly,1,0.94
108,BC_WELF,Backward Classes Welfare,EG,East Godavari,reservation_issue,57,9,RDO,Not visited site / No field verification,2,0.92
109,PNCHRAJ,Panchayat Raj And Rural Development,TPT,Tirupati,drinking_water,4,1,GRA,GRA did not speak to citizen directly,1,0.9
110,REVENUE,Revenue (CCLA),ANM,Annamaya,encroachment,24,5,RDO,GRA did not speak to citizen directly,1,0.92
111,SOC_WELF,Social Welfare,KNR,Konaseema,pension_delay,13,1,Mandal,GRA did not speak to citizen directly,1,0.91
112,WATER,Water Resources,PLN,Palnadu,flood_control,32,11,HOD,Not visited site / No field verification,2,0.9
113,MUNI,Municipal Administration And Urban Development,KKN,Kakinada,water_supply,9,1,GRA,GRA did not speak to citizen directly,1,0.92
114,SOC_WELF,Social Welfare,KDP,Kadapa,pension_not_received,6,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
115,SOC_WELF,Social Welfare,EG,East Godavari,welfare_scheme,9,1,Collector,GRA did not speak to citizen directly,1,0.91
116,REVENUE,Revenue (CCLA),ELR,Eluru,property_dispute,6,1,GRA,GRA did not speak to citizen directly,1,0.94
117,AGRI,Agriculture And Co-operation,NTR,NTR District,crop_compensation,5,1,Mandal,Wrong/Blank/Not related comments,3,0.95
118,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,fertilizer_issue,5,1,GRA,GRA did not speak to citizen directly,1,0.89
119,SOC_WELF,Social Welfare,KNL,Kurnool,disability_certificate,15,2,HOD,GRA did not speak to citizen directly,1,0.94
120,PNCHRAJ,Panchayat Raj And Rural Development,KNL,Kurnool,community_hall,27,5,RDO,Not visited site / No field verification,2,0.88
121,PNCHRAJ,Panchayat Raj And Rural Development,STY,Sri Satya Sai,community_hall,68,12,Collector,Not visited site / No field verification,2,0.93
122,REVENUE,Revenue (CCLA),PKM,Prakasam,tax_assessment,17,1,Mandal,GRA did not speak to citizen directly,1,0.86
123,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,road_repair,43,11,Collector,Not visited site / No field verification,2,0.95
124,REVENUE,Revenue (CCLA),NLR,Nellore,land_mutation,74,20,CM,Not visited site / No field verification,2,0.95
125,ENERGY,Energy,PKM,Prakasam,power_outage,21,3,Tahsildar,Premature closure,6,0.89
126,PNCHRAJ,Panchayat Raj And Rural Development,KRS,Krishna,village_development,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.87
127,REVENUE,Revenue (CCLA),BAP,Bapatla,revenue_certificate,12,1,Tahsildar,Inadequate action taken,8,0.88
128,SOC_WELF,Social Welfare,WG,West Godavari,pension_not_received,8,1,Tahsildar,Incorrect routing,10,0.89
129,SOC_WELF,Social Welfare,NAG,Sri Potti Sriramulu Nellore,welfare_scheme,11,1,GRA,GRA did not speak to citizen directly,1,0.93
130,MUNI,Municipal Administration And Urban Development,KRS,Krishna,water_supply,13,1,GRA,Wrong/Blank/Not related comments,3,0.94
131,REVENUE,Revenue (CCLA),PLN,Palnadu,revenue_certificate,63,15,Collector,Not visited site / No field verification,2,0.95
132,HOME,Home (Police),ARL,Alluri Sitharama Raju,police_complaint,5,1,GRA,Closed without required documents,4,0.86
133,REVENUE,Revenue (CCLA),WG,West Godavari,encroachment,16,1,Mandal,GRA did not speak to citizen directly,1,0.88
134,REVENUE,Revenue (CCLA),KKN,Kakinada,land_mutation,35,6,RDO,GRA did not speak to citizen directly,1,0.86
135,WATER,Water Resources,WG,West Godavari,irrigation_canal,51,5,Tahsildar,Not visited site / No field verification,2,0.87
136,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,land_records,44,6,Collector,Not visited site / No field verification,2,0.91
137,SOC_WELF,Social Welfare,EG,East Godavari,welfare_scheme,15,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
138,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_records,21,3,Mandal,GRA did not speak to citizen directly,1,0.88
139,REVENUE,Revenue (CCLA),WG,West Godavari,revenue_certificate,1,1,Mandal,Wrong/Blank/Not related comments,3,0.9
140,SOC_WELF,Social Welfare,KKN,Kakinada,scholarship_issue,7,1,RDO,GRA did not speak to citizen directly,1,0.91
141,WATER,Water Resources,VZG,Vizianagaram,tank_maintenance,12,1,Mandal,Inordinate delay,9,0.89
142,REVENUE,Revenue (CCLA),VZG,Vizianagaram,revenue_certificate,8,1,GRA,Wrong/Blank/Not related comments,3,0.86
143,REVENUE,Revenue (CCLA),VZG,Vizianagaram,land_mutation,9,1,Collector,Closed without required documents,4,0.92
144,SOC_WELF,Social Welfare,PLN,Palnadu,scholarship_issue,8,1,Mandal,Premature closure,6,0.86
145,MUNI,Municipal Administration And Urban Development,WG,West Godavari,building_permission,55,9,Collector,Not visited site / No field verification,2,0.89
146,PNCHRAJ,Panchayat Raj And Rural Development,ELR,Eluru,community_hall,24,1,RDO,Wrong/Blank/Not related comments,3,0.91
147,AGRI,Agriculture And Co-operation,GNT,Guntur,crop_insurance,15,1,Mandal,Incorrect routing,10,0.88
148,PNCHRAJ,Panchayat Raj And Rural Development,NLR,Nellore,sanitation,19,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
149,PNCHRAJ,Panchayat Raj And Rural Development,GNT,Guntur,village_roads,13,1,Mandal,Wrong/Blank/Not related comments,3,0.87
150,REVENUE,Revenue (CCLA),NLR,Nellore,encroachment,53,7,Tahsildar,Not visited site / No field verification,2,0.92
151,REVENUE,Revenue (CCLA),PLN,Palnadu,land_records,30,5,Tahsildar,Not visited site / No field verification,2,0.88
152,REVENUE,Revenue (CCLA),PLN,Palnadu,tax_assessment,28,6,Collector,Not visited site / No field verification,2,0.85
153,REVENUE,Revenue (CCLA),CHT,Chittoor,property_dispute,11,1,Mandal,Closed without required documents,4,0.87
154,SOC_WELF,Social Welfare,PVT,Parvathipuram Manyam,pension_delay,19,2,HOD,GRA did not speak to citizen directly,1,0.89
155,SOC_WELF,Social Welfare,ANT,Anantapur,disability_certificate,16,1,Mandal,Not visited site / No field verification,2,0.89
156,HOUSING,Housing,NTR,NTR District,building_quality,9,1,Mandal,Wrong/Blank/Not related comments,3,0.93
157,REVENUE,Revenue (CCLA),ELR,Eluru,land_records,31,6,RDO,Not visited site / No field verification,2,0.93
158,REVENUE,Revenue (CCLA),KNR,Konaseema,land_mutation,56,20,Collector,Not visited site / No field verification,2,0.93
159,REVENUE,Revenue (CCLA),WG,West Godavari,revenue_certificate,1,1,GRA,GRA did not speak to citizen directly,1,0.95
160,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,crop_insurance,1,1,Mandal,Premature closure,6,0.91
161,BC_WELF,Backward Classes Welfare,NLR,Nellore,scholarship,19,2,Tahsildar,GRA did not speak to citizen directly,1,0.93
162,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,road_repair,9,1,Mandal,GRA did not speak to citizen directly,1,0.93
163,REVENUE,Revenue (CCLA),ANT,Anantapur,encroachment,25,6,Collector,Not visited site / No field verification,2,0.94
164,SOC_WELF,Social Welfare,TPT,Tirupati,welfare_scheme,8,1,Tahsildar,Wrong/Blank/Not related comments,3,0.86
165,HEALTH,"Health, Medical And Family Welfare",NLR,Nellore,hospital_service,14,2,Mandal,Wrong/Blank/Not related comments,3,0.95
166,MUNI,Municipal Administration And Urban Development,KKN,Kakinada,drainage_issue,18,2,Collector,GRA did not speak to citizen directly,1,0.88
167,MUNI,Municipal Administration And Urban Development,TPT,Tirupati,building_permission,15,3,Collector,Wrong/Blank/Not related comments,3,0.89
168,REVENUE,Revenue (CCLA),PLN,Palnadu,encroachment,6,1,Tahsildar,Premature closure,6,0.95
169,AGRI,Agriculture And Co-operation,SKM,Srikakulam,subsidy_delay,18,1,Tahsildar,Wrong/Blank/Not related comments,3,0.91
170,REVENUE,Revenue (CCLA),WG,West Godavari,tax_assessment,37,3,Tahsildar,Wrong/Blank/Not related comments,3,0.91
171,SOC_WELF,Social Welfare,PKM,Prakasam,pension_not_received,14,2,Mandal,GRA did not speak to citizen directly,1,0.87
172,WOMEN,"Women, Children, Disabled And Senior Citizens",WG,West Godavari,anganwadi_service,14,1,Mandal,GRA did not speak to citizen directly,1,0.93
173,HEALTH,"Health, Medical And Family Welfare",VSP,Visakhapatnam,doctor_absence,25,2,Mandal,Inordinate delay,9,0.87
174,WATER,Water Resources,STY,Sri Satya Sai,flood_control,16,2,Tahsildar,Inadequate action taken,8,0.89
175,PNCHRAJ,Panchayat Raj And Rural Development,ARL,Alluri Sitharama Raju,village_development,11,1,Mandal,GRA did not speak to citizen directly,1,0.87
176,HOUSING,Housing,TPT,Tirupati,allotment_issue,55,17,Collector,Inordinate delay,9,0.95
177,SOC_WELF,Social Welfare,KNL,Kurnool,scholarship_issue,7,1,RDO,GRA did not speak to citizen directly,1,0.94
178,REVENUE,Revenue (CCLA),ANA,Anakapalli,revenue_certificate,75,20,Collector,Not visited site / No field verification,2,0.86
179,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,encroachment,1,1,Tahsildar,GRA did not speak to citizen directly,1,0.94
180,SOC_WELF,Social Welfare,SKM,Srikakulam,welfare_scheme,9,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
181,AGRI,Agriculture And Co-operation,TPT,Tirupati,subsidy_delay,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
182,PNCHRAJ,Panchayat Raj And Rural Development,ANA,Anakapalli,drinking_water,48,8,RDO,Not visited site / No field verification,2,0.93
183,MUNI,Municipal Administration And Urban Development,NAG,Sri Potti Sriramulu Nellore,road_repair,57,13,RDO,Not visited site / No field verification,2,0.86
184,REVENUE,Revenue (CCLA),KNR,Konaseema,encroachment,78,20,RDO,Not visited site / No field verification,2,0.91
185,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,drainage_issue,19,3,RDO,GRA did not speak to citizen directly,1,0.89
186,AGRI,Agriculture And Co-operation,ANT,Anantapur,crop_insurance,20,3,RDO,No action letter issued,11,0.93
187,MUNI,Municipal Administration And Urban Development,GNT,Guntur,street_lights,19,2,Tahsildar,Action not taken as per rules,7,0.88
188,REVENUE,Revenue (CCLA),TPT,Tirupati,land_mutation,10,1,RDO,GRA did not speak to citizen directly,1,0.93
189,REVENUE,Revenue (CCLA),PKM,Prakasam,encroachment,2,1,Mandal,GRA did not speak to citizen directly,1,0.9
190,REVENUE,Revenue (CCLA),WG,West Godavari,land_mutation,14,1,Mandal,Wrong/Blank/Not related comments,3,0.88
191,REVENUE,Revenue (CCLA),SKM,Srikakulam,encroachment,73,20,CM,Not visited site / No field verification,2,0.94
192,REVENUE,Revenue (CCLA),KDP,Kadapa,revenue_certificate,27,3,Tahsildar,Not visited site / No field verification,2,0.95
193,SOC_WELF,Social Welfare,ANA,Anakapalli,disability_certificate,9,1,GRA,Inordinate delay,9,0.89
194,WOMEN,"Women, Children, Disabled And Senior Citizens",NTR,NTR District,daycare_center,17,2,Tahsildar,GRA did not speak to citizen directly,1,0.88
195,MUNI,Municipal Administration And Urban Development,VZG,Vizianagaram,drainage_issue,10,1,Mandal,Wrong/Blank/Not related comments,3,0.91
196,SOC_WELF,Social Welfare,KNR,Konaseema,pension_not_received,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.87
197,REVENUE,Revenue (CCLA),KKN,Kakinada,tax_assessment,14,2,Mandal,Closed without required documents,4,0.89
198,HOME,Home (Police),VSP,Visakhapatnam,police_harassment,4,1,GRA,GRA did not speak to citizen directly,1,0.93
199,MUNI,Municipal Administration And Urban Development,ANM,Annamaya,garbage_collection,8,1,GRA,GRA did not speak to citizen directly,1,0.85
200,REVENUE,Revenue (CCLA),ANM,Annamaya,land_records,22,4,Mandal,Inadequate action taken,8,0.95
201,REVENUE,Revenue (CCLA),ANA,Anakapalli,property_dispute,17,1,Tahsildar,GRA did not speak to citizen directly,1,0.95
202,ENERGY,Energy,NLR,Nellore,billing_dispute,5,1,GRA,Closed without required documents,4,0.94
203,PNCHRAJ,Panchayat Raj And Rural Development,PVT,Parvathipuram Manyam,community_hall,7,1,GRA,Wrong/Blank/Not related comments,3,0.93
204,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_mutation,3,1,GRA,GRA did not speak to citizen directly,1,0.91
205,REVENUE,Revenue (CCLA),KNL,Kurnool,land_records,10,1,Tahsildar,Beneficiary not contacted,13,0.86
206,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",KNR,Konaseema,wage_dispute,8,1,RDO,Wrong/Blank/Not related comments,3,0.91
207,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,drainage_issue,14,1,GRA,GRA did not speak to citizen directly,1,0.9
208,REVENUE,Revenue (CCLA),NTR,NTR District,revenue_certificate,52,17,RDO,Inordinate delay,9,0.93
209,REVENUE,Revenue (CCLA),KNR,Konaseema,encroachment,4,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
210,MUNI,Municipal Administration And Urban Development,NTR,NTR District,building_permission,59,11,Collector,Not visited site / No field verification,2,0.85
211,WATER,Water Resources,ANT,Anantapur,irrigation_canal,12,1,GRA,Incorrect routing,10,0.93
212,SOC_WELF,Social Welfare,KNR,Konaseema,pension_not_received,7,1,Mandal,GRA did not speak to citizen directly,1,0.87
213,ENERGY,Energy,SKM,Srikakulam,billing_dispute,10,1,Mandal,Wrong/Blank/Not related comments,3,0.9
214,REVENUE,Revenue (CCLA),KKN,Kakinada,property_dispute,9,1,Mandal,GRA did not speak to citizen directly,1,0.86
215,SOC_WELF,Social Welfare,BAP,Bapatla,pension_not_received,5,1,Mandal,GRA did not speak to citizen directly,1,0.88
216,SOC_WELF,Social Welfare,KKN,Kakinada,scholarship_issue,15,2,RDO,GRA did not speak to citizen directly,1,0.92
217,REVENUE,Revenue (CCLA),NTR,NTR District,land_records,1,1,GRA,Poor quality of work,12,0.94
218,MUNI,Municipal Administration And Urban Development,EG,East Godavari,drainage_issue,60,17,HOD,Not visited site / No field verification,2,0.94
219,AGRI,Agriculture And Co-operation,ANA,Anakapalli,fertilizer_issue,16,1,Tahsildar,Wrong/Blank/Not related comments,3,0.92
220,PNCHRAJ,Panchayat Raj And Rural Development,PKM,Prakasam,village_roads,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
