text,label
క్లెయిమ్ stopped for months please help,HIGH
క్లెయిమ్ ఆలస్యం అవుతుంది,MEDIUM
క్లెయిమ్ సమస్య పరిష్కరించండి,MEDIUM
నా క్లెయిమ్ ఇంకా రాలేదు,MEDIUM
క్లెయిమ్ delay problem please solve,MEDIUM
క్లెయిమ్ కోసం దరఖాస్తు చేసాను,NORMAL
క్లెయిమ్ సమాచారం కావాలి,NORMAL
నా క్లెయిమ్ status తెలియజేయండి,NORMAL
requesting క్లెయిమ్ information,NORMAL
పరిహారం లేక చనిపోతున్నాము,CRITICAL
పరిహారం 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర పరిహారం సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency పరిహారం needed urgently please help,CRITICAL
పరిహారం 3 నెలలుగా రాలేదు,HIGH
పరిహారం ఆపేసారు కారణం తెలియదు,HIGH
నా పరిహారం తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
పరిహారం stopped for months please help,HIGH
పరిహారం ఆలస్యం అవుతుంది,MEDIUM
పరిహారం సమస్య పరిష్కరించండి,MEDIUM
నా పరిహారం ఇంకా రాలేదు,MEDIUM
పరిహారం delay problem please solve,MEDIUM
పరిహారం కోసం దరఖాస్తు చేసాను,NORMAL
పరిహారం సమాచారం కావాలి,NORMAL
నా పరిహారం status తెలియజేయండి,NORMAL
requesting పరిహారం information,NORMAL
నష్టం లేక చనిపోతున్నాము,CRITICAL
నష్టం 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర నష్టం సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency నష్టం needed urgently please help,CRITICAL
నష్టం 3 నెలలుగా రాలేదు,HIGH
నష్టం ఆపేసారు కారణం తెలియదు,HIGH
నా నష్టం తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
నష్టం stopped for months please help,HIGH
నష్టం ఆలస్యం అవుతుంది,MEDIUM
నష్టం సమస్య పరిష్కరించండి,MEDIUM
నా నష్టం ఇంకా రాలేదు,MEDIUM
నష్టం delay problem please solve,MEDIUM
నష్టం కోసం దరఖాస్తు చేసాను,NORMAL
నష్టం సమాచారం కావాలి,NORMAL
నా నష్టం status తెలియజేయండి,NORMAL
requesting నష్టం information,NORMAL
ప్రీమియం లేక చనిపోతున్నాము,CRITICAL
ప్రీమియం 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర ప్రీమియం సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency ప్రీమియం needed urgently please help,CRITICAL
ప్రీమియం 3 నెలలుగా రాలేదు,HIGH
ప్రీమియం ఆపేసారు కారణం తెలియదు,HIGH
నా ప్రీమియం తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
ప్రీమియం stopped for months please help,HIGH
ప్రీమియం ఆలస్యం అవుతుంది,MEDIUM
ప్రీమియం సమస్య పరిష్కరించండి,MEDIUM
నా ప్రీమియం ఇంకా రాలేదు,MEDIUM
ప్రీమియం delay problem please solve,MEDIUM
ప్రీమియం కోసం దరఖాస్తు చేసాను,NORMAL
ప్రీమియం సమాచారం కావాలి,NORMAL
నా ప్రీమియం status తెలియజేయండి,NORMAL
requesting ప్రీమియం information,NORMAL
దిగుబడి లేక చనిపోతున్నాము,CRITICAL
దిగుబడి 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర దిగుబడి సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency దిగుబడి needed urgently please help,CRITICAL
దిగుబడి 3 నెలలుగా రాలేదు,HIGH
దిగుబడి ఆపేసారు కారణం తెలియదు,HIGH
నా దిగుబడి తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
దిగుబడి stopped for months please help,HIGH
దిగుబడి ఆలస్యం అవుతుంది,MEDIUM
దిగుబడి సమస్య పరిష్కరించండి,MEDIUM
నా దిగుబడి ఇంకా రాలేదు,MEDIUM
దిగుబడి delay problem please solve,MEDIUM
దిగుబడి కోసం దరఖాస్తు చేసాను,NORMAL
దిగుబడి సమాచారం కావాలి,NORMAL
నా దిగుబడి status తెలియజేయండి,NORMAL
requesting దిగుబడి information,NORMAL
వ్యవసాయం లేక చనిపోతున్నాము,CRITICAL
వ్యవసాయం 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర వ్యవసాయం సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency వ్యవసాయం needed urgently please help,CRITICAL
వ్యవసాయం 3 నెలలుగా రాలేదు,HIGH
వ్యవసాయం ఆపేసారు కారణం తెలియదు,HIGH
నా వ్యవసాయం తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
వ్యవసాయం stopped for months please help,HIGH
వ్యవసాయం ఆలస్యం అవుతుంది,MEDIUM
వ్యవసాయం సమస్య పరిష్కరించండి,MEDIUM
నా వ్యవసాయం ఇంకా రాలేదు,MEDIUM
వ్యవసాయం delay problem please solve,MEDIUM
వ్యవసాయం కోసం దరఖాస్తు చేసాను,NORMAL
వ్యవసాయం సమాచారం కావాలి,NORMAL
నా వ్యవసాయం status తెలియజేయండి,NORMAL
requesting వ్యవసాయం information,NORMAL
crop లేక చనిపోతున్నాము,CRITICAL
crop 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర crop సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency crop needed urgently please help,CRITICAL
crop 3 నెలలుగా రాలేదు,HIGH
crop ఆపేసారు కారణం తెలియదు,HIGH
నా crop తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
crop stopped for months please help,HIGH
crop ఆలస్యం అవుతుంది,MEDIUM
crop సమస్య పరిష్కరించండి,MEDIUM
నా crop ఇంకా రాలేదు,MEDIUM
crop delay problem please solve,MEDIUM
crop కోసం దరఖాస్తు చేసాను,NORMAL
crop సమాచారం కావాలి,NORMAL
నా crop status తెలియజేయండి,NORMAL
requesting crop information,NORMAL
insurance లేక చనిపోతున్నాము,CRITICAL
insurance 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర insurance సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency insurance needed urgently please help,CRITICAL
insurance 3 నెలలుగా రాలేదు,HIGH
insurance ఆపేసారు కారణం తెలియదు,HIGH
నా insurance తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
insurance stopped for months please help,HIGH
insurance ఆలస్యం అవుతుంది,MEDIUM
insurance సమస్య పరిష్కరించండి,MEDIUM
నా insurance ఇంకా రాలేదు,MEDIUM
insurance delay problem please solve,MEDIUM
insurance కోసం దరఖాస్తు చేసాను,NORMAL
insurance సమాచారం కావాలి,NORMAL
నా insurance status తెలియజేయండి,NORMAL
requesting insurance information,NORMAL
claim లేక చనిపోతున్నాము,CRITICAL
claim 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర claim సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency claim needed urgently please help,CRITICAL
claim 3 నెలలుగా రాలేదు,HIGH
claim ఆపేసారు కారణం తెలియదు,HIGH
నా claim తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
claim stopped for months please help,HIGH
claim ఆలస్యం అవుతుంది,MEDIUM
claim సమస్య పరిష్కరించండి,MEDIUM
నా claim ఇంకా రాలేదు,MEDIUM
claim delay problem please solve,MEDIUM
claim కోసం దరఖాస్తు చేసాను,NORMAL
claim సమాచారం కావాలి,NORMAL
నా claim status తెలియజేయండి,NORMAL
requesting claim information,NORMAL
compensation లేక చనిపోతున్నాము,CRITICAL
compensation 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర compensation సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency compensation needed urgently please help,CRITICAL
compensation 3 నెలలుగా రాలేదు,HIGH
compensation ఆపేసారు కారణం తెలియదు,HIGH
నా compensation తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
compensation stopped for months please help,HIGH
compensation ఆలస్యం అవుతుంది,MEDIUM
compensation సమస్య పరిష్కరించండి,MEDIUM
నా compensation ఇంకా రాలేదు,MEDIUM
compensation delay problem please solve,MEDIUM
compensation కోసం దరఖాస్తు చేసాను,NORMAL
compensation సమాచారం కావాలి,NORMAL
నా compensation status తెలియజేయండి,NORMAL
requesting compensation information,NORMAL
damage లేక చనిపోతున్నాము,CRITICAL
damage 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర damage సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency damage needed urgently please help,CRITICAL
damage 3 నెలలుగా రాలేదు,HIGH
damage ఆపేసారు కారణం తెలియదు,HIGH
నా damage తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
damage stopped for months please help,HIGH
damage ఆలస్యం అవుతుంది,MEDIUM
damage సమస్య పరిష్కరించండి,MEDIUM
నా damage ఇంకా రాలేదు,MEDIUM
damage delay problem please solve,MEDIUM
damage కోసం దరఖాస్తు చేసాను,NORMAL
damage సమాచారం కావాలి,NORMAL
నా damage status తెలియజేయండి,NORMAL
requesting damage information,NORMAL
loss లేక చనిపోతున్నాము,CRITICAL
loss 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర loss సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency loss needed urgently please help,CRITICAL
loss 3 నెలలుగా రాలేదు,HIGH
loss ఆపేసారు కారణం తెలియదు,HIGH
నా loss తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
loss stopped for months please help,HIGH
loss ఆలస్యం అవుతుంది,MEDIUM
loss సమస్య పరిష్కరించండి,MEDIUM
నా loss ఇంకా రాలేదు,MEDIUM
loss delay problem please solve,MEDIUM
loss కోసం దరఖాస్తు చేసాను,NORMAL
loss సమాచారం కావాలి,NORMAL
నా loss status తెలియజేయండి,NORMAL
requesting loss information,NORMAL
premium లేక చనిపోతున్నాము,CRITICAL
premium 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర premium సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency premium needed urgently please help,CRITICAL
premium 3 నెలలుగా రాలేదు,HIGH
premium ఆపేసారు కారణం తెలియదు,HIGH
నా premium తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
premium stopped for months please help,HIGH
premium ఆలస్యం అవుతుంది,MEDIUM
premium సమస్య పరిష్కరించండి,MEDIUM
నా premium ఇంకా రాలేదు,MEDIUM
premium delay problem please solve,MEDIUM
premium కోసం దరఖాస్తు చేసాను,NORMAL
premium సమాచారం కావాలి,NORMAL
నా premium status తెలియజేయండి,NORMAL
requesting premium information,NORMAL
yield లేక చనిపోతున్నాము,CRITICAL
yield 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర yield సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency yield needed urgently please help,CRITICAL
yield 3 నెలలుగా రాలేదు,HIGH
yield ఆపేసారు కారణం తెలియదు,HIGH
నా yield తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
yield stopped for months please help,HIGH
yield ఆలస్యం అవుతుంది,MEDIUM
yield సమస్య పరిష్కరించండి,MEDIUM
నా yield ఇంకా రాలేదు,MEDIUM
yield delay problem please solve,MEDIUM
yield కోసం దరఖాస్తు చేసాను,NORMAL
yield సమాచారం కావాలి,NORMAL
నా yield status తెలియజేయండి,NORMAL
requesting yield information,NORMAL
agriculture లేక చనిపోతున్నాము,CRITICAL
agriculture 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర agriculture సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency agriculture needed urgently please help,CRITICAL
agriculture 3 నెలలుగా రాలేదు,HIGH
agriculture ఆపేసారు కారణం తెలియదు,HIGH
నా agriculture తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
agriculture stopped for months please help,HIGH
agriculture ఆలస్యం అవుతుంది,MEDIUM
agriculture సమస్య పరిష్కరించండి,MEDIUM
నా agriculture ఇంకా రాలేదు,MEDIUM
agriculture delay problem please solve,MEDIUM
agriculture కోసం దరఖాస్తు చేసాను,NORMAL
agriculture సమాచారం కావాలి,NORMAL
నా agriculture status తెలియజేయండి,NORMAL
requesting agriculture information,NORMAL
ఎరువులు లేక చనిపోతున్నాము,CRITICAL
ఎరువులు 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర ఎరువులు సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency ఎరువులు needed urgently please help,CRITICAL
ఎరువులు 3 నెలలుగా రాలేదు,HIGH
ఎరువులు ఆపేసారు కారణం తెలియదు,HIGH
నా ఎరువులు తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
ఎరువులు stopped for months please help,HIGH
ఎరువులు ఆలస్యం అవుతుంది,MEDIUM
ఎరువులు సమస్య పరిష్కరించండి,MEDIUM
నా ఎరువులు ఇంకా రాలేదు,MEDIUM
ఎరువులు delay problem please solve,MEDIUM
ఎరువులు కోసం దరఖాస్తు చేసాను,NORMAL
ఎరువులు సమాచారం కావాలి,NORMAL
నా ఎరువులు status తెలియజేయండి,NORMAL
requesting ఎరువులు information,NORMAL
సబ్సిడీ లేక చనిపోతున్నాము,CRITICAL
సబ్సిడీ 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర సబ్సిడీ సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency సబ్సిడీ needed urgently please help,CRITICAL
సబ్సిడీ 3 నెలలుగా రాలేదు,HIGH
సబ్సిడీ ఆపేసారు కారణం తెలియదు,HIGH
నా సబ్సిడీ తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
సబ్సిడీ stopped for months please help,HIGH
సబ్సిడీ ఆలస్యం అవుతుంది,MEDIUM
సబ్సిడీ సమస్య పరిష్కరించండి,MEDIUM
నా సబ్సిడీ ఇంకా రాలేదు,MEDIUM
సబ్సిడీ delay problem please solve,MEDIUM
సబ్సిడీ కోసం దరఖాస్తు చేసాను,NORMAL
సబ్సిడీ సమాచారం కావాలి,NORMAL
నా సబ్సిడీ status తెలియజేయండి,NORMAL
requesting సబ్సిడీ information,NORMAL
పంపిణీ లేక చనిపోతున్నాము,CRITICAL
పంపిణీ 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర పంపిణీ సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency పంపిణీ needed urgently please help,CRITICAL
పంపిణీ 3 నెలలుగా రాలేదు,HIGH
పంపిణీ ఆపేసారు కారణం తెలియదు,HIGH
నా పంపిణీ తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
పంపిణీ stopped for months please help,HIGH
పంపిణీ ఆలస్యం అవుతుంది,MEDIUM
పంపిణీ సమస్య పరిష్కరించండి,MEDIUM
నా పంపిణీ ఇంకా రాలేదు,MEDIUM
పంపిణీ delay problem please solve,MEDIUM
పంపిణీ కోసం దరఖాస్తు చేసాను,NORMAL
పంపిణీ సమాచారం కావాలి,NORMAL
నా పంపిణీ status తెలియజేయండి,NORMAL
requesting పంపిణీ information,NORMAL
కొరత లేక చనిపోతున్నాము,CRITICAL
కొరత 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర కొరత సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency కొరత needed urgently please help,CRITICAL
కొరత 3 నెలలుగా రాలేదు,HIGH
కొరత ఆపేసారు కారణం తెలియదు,HIGH
నా కొరత తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
కొరత stopped for months please help,HIGH
కొరత ఆలస్యం అవుతుంది,MEDIUM
కొరత సమస్య పరిష్కరించండి,MEDIUM
నా కొరత ఇంకా రాలేదు,MEDIUM
కొరత delay problem please solve,MEDIUM
కొరత కోసం దరఖాస్తు చేసాను,NORMAL
కొరత సమాచారం కావాలి,NORMAL
నా కొరత status తెలియజేయండి,NORMAL
requesting కొరత information,NORMAL
లభ్యత లేక చనిపోతున్నాము,CRITICAL
లభ్యత 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర లభ్యత సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency లభ్యత needed urgently please help,CRITICAL
లభ్యత 3 నెలలుగా రాలేదు,HIGH
లభ్యత ఆపేసారు కారణం తెలియదు,HIGH
నా లభ్యత తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
లభ్యత stopped for months please help,HIGH
లభ్యత ఆలస్యం అవుతుంది,MEDIUM
లభ్యత సమస్య పరిష్కరించండి,MEDIUM
నా లభ్యత ఇంకా రాలేదు,MEDIUM
లభ్యత delay problem please solve,MEDIUM
లభ్యత కోసం దరఖాస్తు చేసాను,NORMAL
లభ్యత సమాచారం కావాలి,NORMAL
నా లభ్యత status తెలియజేయండి,NORMAL
requesting లభ్యత information,NORMAL
యూరియా లేక చనిపోతున్నాము,CRITICAL
యూరియా 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర యూరియా సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency యూరియా needed urgently please help,CRITICAL
యూరియా 3 నెలలుగా రాలేదు,HIGH
యూరియా ఆపేసారు కారణం తెలియదు,HIGH
నా యూరియా తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
యూరియా stopped for months please help,HIGH
యూరియా ఆలస్యం అవుతుంది,MEDIUM
యూరియా సమస్య పరిష్కరించండి,MEDIUM
నా యూరియా ఇంకా రాలేదు,MEDIUM
యూరియా delay problem please solve,MEDIUM
యూరియా కోసం దరఖాస్తు చేసాను,NORMAL
యూరియా సమాచారం కావాలి,NORMAL
నా యూరియా status తెలియజేయండి,NORMAL
requesting యూరియా information,NORMAL
fertilizer లేక చనిపోతున్నాము,CRITICAL
fertilizer 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర fertilizer సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency fertilizer needed urgently please help,CRITICAL
fertilizer 3 నెలలుగా రాలేదు,HIGH
fertilizer ఆపేసారు కారణం తెలియదు,HIGH
నా fertilizer తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
fertilizer stopped for months please help,HIGH
fertilizer ఆలస్యం అవుతుంది,MEDIUM
fertilizer సమస్య పరిష్కరించండి,MEDIUM
నా fertilizer ఇంకా రాలేదు,MEDIUM
fertilizer delay problem please solve,MEDIUM
fertilizer కోసం దరఖాస్తు చేసాను,NORMAL
fertilizer సమాచారం కావాలి,NORMAL
నా fertilizer status తెలియజేయండి,NORMAL
requesting fertilizer information,NORMAL
subsidy లేక చనిపోతున్నాము,CRITICAL
subsidy 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర subsidy సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency subsidy needed urgently please help,CRITICAL
subsidy 3 నెలలుగా రాలేదు,HIGH
subsidy ఆపేసారు కారణం తెలియదు,HIGH
నా subsidy తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
subsidy stopped for months please help,HIGH
subsidy ఆలస్యం అవుతుంది,MEDIUM
subsidy సమస్య పరిష్కరించండి,MEDIUM
నా subsidy ఇంకా రాలేదు,MEDIUM
subsidy delay problem please solve,MEDIUM
subsidy కోసం దరఖాస్తు చేసాను,NORMAL
subsidy సమాచారం కావాలి,NORMAL
నా subsidy status తెలియజేయండి,NORMAL
requesting subsidy information,NORMAL
distribution లేక చనిపోతున్నాము,CRITICAL
distribution 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర distribution సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency distribution needed urgently please help,CRITICAL
distribution 3 నెలలుగా రాలేదు,HIGH
distribution ఆపేసారు కారణం తెలియదు,HIGH
నా distribution తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
distribution stopped for months please help,HIGH
distribution ఆలస్యం అవుతుంది,MEDIUM
distribution సమస్య పరిష్కరించండి,MEDIUM
నా distribution ఇంకా రాలేదు,MEDIUM
distribution delay problem please solve,MEDIUM
distribution కోసం దరఖాస్తు చేసాను,NORMAL
distribution సమాచారం కావాలి,NORMAL
నా distribution status తెలియజేయండి,NORMAL
requesting distribution information,NORMAL
shortage లేక చనిపోతున్నాము,CRITICAL
shortage 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర shortage సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency shortage needed urgently please help,CRITICAL
shortage 3 నెలలుగా రాలేదు,HIGH
shortage ఆపేసారు కారణం తెలియదు,HIGH
నా shortage తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
shortage stopped for months please help,HIGH
shortage ఆలస్యం అవుతుంది,MEDIUM
shortage సమస్య పరిష్కరించండి,MEDIUM
నా shortage ఇంకా రాలేదు,MEDIUM
shortage delay problem please solve,MEDIUM
shortage కోసం దరఖాస్తు చేసాను,NORMAL
shortage సమాచారం కావాలి,NORMAL
నా shortage status తెలియజేయండి,NORMAL
requesting shortage information,NORMAL
availability లేక చనిపోతున్నాము,CRITICAL
availability 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర availability సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency availability needed urgently please help,CRITICAL
availability 3 నెలలుగా రాలేదు,HIGH
availability ఆపేసారు కారణం తెలియదు,HIGH
నా availability తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
availability stopped for months please help,HIGH
availability ఆలస్యం అవుతుంది,MEDIUM
availability సమస్య పరిష్కరించండి,MEDIUM
నా availability ఇంకా రాలేదు,MEDIUM
availability delay problem please solve,MEDIUM
availability కోసం దరఖాస్తు చేసాను,NORMAL
availability సమాచారం కావాలి,NORMAL
నా availability status తెలియజేయండి,NORMAL
requesting availability information,NORMAL
urea లేక చనిపోతున్నాము,CRITICAL
urea 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర urea సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency urea needed urgently please help,CRITICAL
urea 3 నెలలుగా రాలేదు,HIGH
urea ఆపేసారు కారణం తెలియదు,HIGH
నా urea తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
urea stopped for months please help,HIGH
urea ఆలస్యం అవుతుంది,MEDIUM
urea సమస్య పరిష్కరించండి,MEDIUM
నా urea ఇంకా రాలేదు,MEDIUM
urea delay problem please solve,MEDIUM
urea కోసం దరఖాస్తు చేసాను,NORMAL
urea సమాచారం కావాలి,NORMAL
నా urea status తెలియజేయండి,NORMAL
requesting urea information,NORMAL
dap లేక చనిపోతున్నాము,CRITICAL
dap 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర dap సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency dap needed urgently please help,CRITICAL
dap 3 నెలలుగా రాలేదు,HIGH
dap ఆపేసారు కారణం తెలియదు,HIGH
నా dap తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
dap stopped for months please help,HIGH
dap ఆలస్యం అవుతుంది,MEDIUM
dap సమస్య పరిష్కరించండి,MEDIUM
నా dap ఇంకా రాలేదు,MEDIUM
dap delay problem please solve,MEDIUM
dap కోసం దరఖాస్తు చేసాను,NORMAL
dap సమాచారం కావాలి,NORMAL
నా dap status తెలియజేయండి,NORMAL
requesting dap information,NORMAL
రుణం లేక చనిపోతున్నాము,CRITICAL
రుణం 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర రుణం సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency రుణం needed urgently please help,CRITICAL
రుణం 3 నెలలుగా రాలేదు,HIGH
రుణం ఆపేసారు కారణం తెలియదు,HIGH
నా రుణం తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
రుణం stopped for months please help,HIGH
రుణం ఆలస్యం అవుతుంది,MEDIUM
రుణం సమస్య పరిష్కరించండి,MEDIUM
నా రుణం ఇంకా రాలేదు,MEDIUM
